query,positive,negative
tengo tos,FARINGESIC,CASPOFUNGINA
tos seca,FLUTOX,PLUSVENT 25 MCG
tos seca,MUCOSAN,PLUSVENT 25 MCG
tos seca,ROMILAR,PLUSVENT 25 MCG
tos seca,BISOLVON,ZALTRAP
tos seca,FARINGESIC,TRUVADA
no paro de toser,FLUTOX,XARELTO
no paro de toser,MUCOSAN,XARELTO
no paro de toser,ROMILAR,SUTENT
no paro de toser,BISOLVON,PROPECIA
no paro de toser,FARINGESIC,PRITORPLUS 40 MG
tos con mocos,FLUTOX,SUTENT
tos con mocos,MUCOSAN,PLUSVENT 25 MCG
tos con mocos,ROMILAR,ZALTRAP
tos con mocos,BISOLVON,CASPOFUNGINA
tos con mocos,FARINGESIC,TRUVADA
me ahogo con la tos,FLUTOX,ZEJULA 100 MG
me ahogo con la tos,MUCOSAN,PRITORPLUS 40 MG
me ahogo con la tos,ROMILAR,CASPOFUNGINA
me ahogo con la tos,BISOLVON,XARELTO
me ahogo con la tos,FARINGESIC,CASPOFUNGINA
no puedo respirar por la nariz,RESPIR,ZEJULA 100 MG
no puedo respirar por la nariz,VICKS VAPORUB,SUTENT
no puedo respirar por la nariz,ACTIFED,PRITORPLUS 40 MG
no puedo respirar por la nariz,RHINATHIOL,LEVITRA 10 MG
no puedo respirar por la nariz,NASONEX,XARELTO
nariz taponada,RESPIR,PLUSVENT 25 MCG
nariz taponada,VICKS VAPORUB,PROPECIA
nariz taponada,ACTIFED,TRUVADA
nariz taponada,RHINATHIOL,TRUVADA
nariz taponada,NASONEX,SUTENT
tengo congestión nasal,RESPIR,ZALTRAP
tengo congestión nasal,VICKS VAPORUB,XARELTO
tengo congestión nasal,ACTIFED,SUTENT
tengo congestión nasal,RHINATHIOL,LEVITRA 10 MG
tengo congestión nasal,NASONEX,PLUSVENT 25 MCG
nariz bloqueada,RESPIR,TRUVADA
nariz bloqueada,VICKS VAPORUB,TRUVADA
nariz bloqueada,ACTIFED,CASPOFUNGINA
nariz bloqueada,RHINATHIOL,ZALTRAP
nariz bloqueada,NASONEX,CASPOFUNGINA
resfriado con congestión,RESPIR,ZALTRAP
resfriado con congestión,VICKS VAPORUB,ZALTRAP
resfriado con congestión,ACTIFED,PLUSVENT 25 MCG
resfriado con congestión,RHINATHIOL,PRITORPLUS 40 MG
resfriado con congestión,NASONEX,LEVITRA 10 MG
tengo náuseas,PRIMPERAN,ZALTRAP
tengo náuseas,CARIBAN,ZALTRAP
tengo náuseas,DOMPERIDONA,XARELTO
tengo náuseas,EMETROL,ZALTRAP
tengo náuseas,VOMISTOP,PRITORPLUS 40 MG
sensación de vómito,PRIMPERAN,PROPECIA
sensación de vómito,CARIBAN,ZALTRAP
sensación de vómito,DOMPERIDONA,CASPOFUNGINA
sensación de vómito,EMETROL,TRUVADA
sensación de vómito,VOMISTOP,LEVITRA 10 MG
me dan arcadas,PRIMPERAN,ZEJULA 100 MG
me dan arcadas,CARIBAN,XARELTO
me dan arcadas,DOMPERIDONA,ZALTRAP
me dan arcadas,EMETROL,ZALTRAP
me dan arcadas,VOMISTOP,TRUVADA
estómago revuelto,PRIMPERAN,SUTENT
estómago revuelto,CARIBAN,PRITORPLUS 40 MG
estómago revuelto,DOMPERIDONA,PLUSVENT 25 MCG
estómago revuelto,EMETROL,TRUVADA
estómago revuelto,VOMISTOP,SUTENT
me siento mareado y con ganas de vomitar,PRIMPERAN,ZEJULA 100 MG
me siento mareado y con ganas de vomitar,CARIBAN,ZEJULA 100 MG
me siento mareado y con ganas de vomitar,DOMPERIDONA,PROPECIA
me siento mareado y con ganas de vomitar,EMETROL,PRITORPLUS 40 MG
me siento mareado y con ganas de vomitar,VOMISTOP,ZEJULA 100 MG
tengo mareos,CINARIZINA,XARELTO
tengo mareos,STUGERON,TRUVADA
tengo mareos,BIODRAMINA,XARELTO
tengo mareos,VERTIGON,PLUSVENT 25 MCG
tengo mareos,DOGMATIL,PRITORPLUS 40 MG
me siento mareado,CINARIZINA,ZALTRAP
me siento mareado,STUGERON,LEVITRA 10 MG
me siento mareado,BIODRAMINA,TRUVADA
me siento mareado,VERTIGON,PLUSVENT 25 MCG
me siento mareado,DOGMATIL,PLUSVENT 25 MCG
todo me da vueltas,CINARIZINA,XARELTO
todo me da vueltas,STUGERON,ZEJULA 100 MG
todo me da vueltas,BIODRAMINA,PRITORPLUS 40 MG
todo me da vueltas,VERTIGON,LEVITRA 10 MG
todo me da vueltas,DOGMATIL,ZEJULA 100 MG
mareo constante,CINARIZINA,CASPOFUNGINA
mareo constante,STUGERON,CASPOFUNGINA
mareo constante,BIODRAMINA,LEVITRA 10 MG
mareo constante,VERTIGON,XARELTO
mareo constante,DOGMATIL,SUTENT
me tambaleo al caminar,CINARIZINA,CASPOFUNGINA
me tambaleo al caminar,STUGERON,PROPECIA
me tambaleo al caminar,BIODRAMINA,LEVITRA 10 MG
me tambaleo al caminar,VERTIGON,TRUVADA
me tambaleo al caminar,DOGMATIL,PRITORPLUS 40 MG
tengo alergia,EBASTEL,TRUVADA
tengo alergia,AERIUS,PLUSVENT 25 MCG
tengo alergia,CETIRIZINA,TRUVADA
tengo alergia,LORATADINA,CASPOFUNGINA
tengo alergia,BILASTINA,TRUVADA
me pica todo el cuerpo,EBASTEL,CASPOFUNGINA
me pica todo el cuerpo,AERIUS,TRUVADA
me pica todo el cuerpo,CETIRIZINA,PRITORPLUS 40 MG
me pica todo el cuerpo,LORATADINA,LEVITRA 10 MG
me pica todo el cuerpo,BILASTINA,CASPOFUNGINA
estornudo mucho,EBASTEL,PLUSVENT 25 MCG
estornudo mucho,AERIUS,SUTENT
estornudo mucho,CETIRIZINA,TRUVADA
estornudo mucho,LORATADINA,PROPECIA
estornudo mucho,BILASTINA,XARELTO
ojos llorosos y picor,EBASTEL,SUTENT
ojos llorosos y picor,AERIUS,TRUVADA
ojos llorosos y picor,CETIRIZINA,CASPOFUNGINA
ojos llorosos y picor,LORATADINA,PROPECIA
ojos llorosos y picor,BILASTINA,PROPECIA
alergia primaveral,EBASTEL,TRUVADA
alergia primaveral,AERIUS,SUTENT
alergia primaveral,CETIRIZINA,ZEJULA 100 MG
alergia primaveral,LORATADINA,SUTENT
alergia primaveral,BILASTINA,PRITORPLUS 40 MG
dolor punzante en la cabeza,DESENFRIOL C,PLUSVENT 25 MCG
me duele la cabeza,ASPIRINA C,XARELTO
dolor punzante en la cabeza,ASPIRINA C,LEVITRA 10 MG
me palpita la cabeza,ASPIRINA C,SUTENT
dolor punzante en la cabeza,ACTRON COMPUESTO,PRITORPLUS 40 MG
dolor de cabeza fuerte,GELOCATIL 650 MG,ZALTRAP
me duele la cabeza,ASPIRINA C,LEVITRA 10 MG
dolor de cabeza fuerte,GELOCATIL 650 MG,SUTENT
dolor punzante en la cabeza,GELOCATIL 650 MG,XARELTO
me palpita la cabeza,ASPIRINA C,ZEJULA 100 MG
me duele el estómago,OMEPRAZOL 20 MG,ZALTRAP
me duele el estómago,ESPAVEN,PLUSVENT 25 MCG
tengo molestias estomacales,ALMAX FORTE,LEVITRA 10 MG
dolor abdominal,OMEPRAZOL 20 MG,SUTENT
tengo molestias estomacales,RANITIDINA,ZEJULA 100 MG
me duele el estómago,BUSCAPINA COMPOSITUM,ZEJULA 100 MG
me duele el estómago,RANITIDINA,LEVITRA 10 MG
dolor abdominal,OMEPRAZOL 20 MG,LEVITRA 10 MG
dolor abdominal,RANITIDINA,ZEJULA 100 MG
dolor abdominal,BUSCAPINA COMPOSITUM,CASPOFUNGINA
estoy febril,IBUPROFENO 600 MG,PRITORPLUS 40 MG
me siento muy caliente,IBUPROFENO 600 MG,ZALTRAP
tengo fiebre,PARACETAMOL 1G,PLUSVENT 25 MCG
me ha subido la temperatura,TERMALGIN,TRUVADA
fiebre alta,GELDOCHEK,TRUVADA
me ha subido la temperatura,GELDOCHEK,LEVITRA 10 MG
tengo fiebre,GELDOCHEK,ZALTRAP
me ha subido la temperatura,TERMALGIN,ZALTRAP
fiebre alta,PARACETAMOL 1G,ZALTRAP
me ha subido la temperatura,PARACETAMOL 1G,CASPOFUNGINA
me duele todo el cuerpo,ENOXOLONA,ZALTRAP
tengo agujetas,ENOXOLONA,PLUSVENT 25 MCG
molestias musculares,IBUPROFENO 400 MG,LEVITRA 10 MG
me duele todo el cuerpo,ENOXOLONA,LEVITRA 10 MG
me duele todo el cuerpo,VOLTAREN EMULGEL,ZEJULA 100 MG
tengo agujetas,VOLTAREN EMULGEL,PLUSVENT 25 MCG
tengo dolor muscular,FLEXIUM GEL,PRITORPLUS 40 MG
me duele todo el cuerpo,MYOLASTAN,ZALTRAP
tengo agujetas,ENOXOLONA,PRITORPLUS 40 MG
molestias musculares,IBUPROFENO 400 MG,TRUVADA
me pica la garganta,FLUBIOGRIP,LEVITRA 10 MG
dolor al tragar,STREPSILS,TRUVADA
garganta inflamada,ANGILEPTOL,XARELTO
me pica la garganta,JUVELAINE,CASPOFUNGINA
me duele la garganta,JUVELAINE,PROPECIA
dolor al tragar,JUVELAINE,TRUVADA
tengo irritación en la garganta,STREPSILS,ZEJULA 100 MG
me duele la garganta,STREPSILS,ZALTRAP
me duele la garganta,STREPSILS,XARELTO
me duele la garganta,IBUPROFENO 400 MG,PROPECIA
no paro de toser,ROMILAR,PRITORPLUS 40 MG
tos con mocos,MUCOSAN,ZALTRAP
tos seca,MUCOSAN,ZALTRAP
tengo tos,MUCOSAN,PLUSVENT 25 MCG
tengo tos,MUCOSAN,PRITORPLUS 40 MG
tengo tos,FARINGESIC,PLUSVENT 25 MCG
me ahogo con la tos,MUCOSAN,SUTENT
tos seca,FLUTOX,XARELTO
tengo tos,FARINGESIC,SUTENT
tos con mocos,BISOLVON,LEVITRA 10 MG
nariz taponada,NASONEX,TRUVADA
nariz taponada,NASONEX,TRUVADA
no puedo respirar por la nariz,VICKS VAPORUB,PRITORPLUS 40 MG
nariz bloqueada,VICKS VAPORUB,PLUSVENT 25 MCG
tengo congestión nasal,ACTIFED,TRUVADA
nariz bloqueada,ACTIFED,PLUSVENT 25 MCG
no puedo respirar por la nariz,RHINATHIOL,LEVITRA 10 MG
nariz taponada,NASONEX,SUTENT
resfriado con congestión,NASONEX,ZEJULA 100 MG
nariz taponada,ACTIFED,PLUSVENT 25 MCG
tengo náuseas,DOMPERIDONA,TRUVADA
me dan arcadas,EMETROL,LEVITRA 10 MG
tengo náuseas,PRIMPERAN,PROPECIA
estómago revuelto,EMETROL,PRITORPLUS 40 MG
me dan arcadas,DOMPERIDONA,LEVITRA 10 MG
me siento mareado y con ganas de vomitar,PRIMPERAN,ZEJULA 100 MG
me siento mareado y con ganas de vomitar,VOMISTOP,SUTENT
me siento mareado y con ganas de vomitar,CARIBAN,TRUVADA
me siento mareado y con ganas de vomitar,PRIMPERAN,XARELTO
me dan arcadas,VOMISTOP,CASPOFUNGINA
todo me da vueltas,DOGMATIL,XARELTO
todo me da vueltas,STUGERON,TRUVADA
me tambaleo al caminar,VERTIGON,CASPOFUNGINA
todo me da vueltas,BIODRAMINA,LEVITRA 10 MG
me siento mareado,STUGERON,SUTENT
me tambaleo al caminar,VERTIGON,ZEJULA 100 MG
mareo constante,CINARIZINA,PROPECIA
me siento mareado,STUGERON,PROPECIA
tengo mareos,VERTIGON,PLUSVENT 25 MCG
tengo mareos,STUGERON,CASPOFUNGINA
tengo alergia,BILASTINA,TRUVADA
tengo alergia,CETIRIZINA,PROPECIA
alergia primaveral,CETIRIZINA,PROPECIA
tengo alergia,CETIRIZINA,CASPOFUNGINA
alergia primaveral,CETIRIZINA,TRUVADA
ojos llorosos y picor,LORATADINA,ZALTRAP
estornudo mucho,AERIUS,CASPOFUNGINA
tengo alergia,AERIUS,TRUVADA
ojos llorosos y picor,BILASTINA,ZALTRAP
estornudo mucho,BILASTINA,SUTENT
me pica todo el cuerpo,AERIUS,PRITORPLUS 40 MG
retortijones,RANITIDINA,XARELTO
garganta inflamada,IBUPROFENO 400 MG,LEVITRA 10 MG
nariz taponada,VICKS VAPORUB,PLUSVENT 25 MCG
estornudo mucho,EBASTEL,LEVITRA 10 MG
resfriado con congestión,NASONEX,ZEJULA 100 MG
me duele la garganta,ANGILEPTOL,XARELTO
no paro de toser,BISOLVON,SUTENT
me duele la cabeza,GELOCATIL 650 MG,ZALTRAP
me ha subido la temperatura,PARACETAMOL 1G,ZEJULA 100 MG
me tambaleo al caminar,VERTIGON,LEVITRA 10 MG
tengo tos,FARINGESIC,ZEJULA 100 MG
estómago revuelto,PRIMPERAN,PLUSVENT 25 MCG
me siento mareado,CINARIZINA,SUTENT
tengo alergia,EBASTEL,PLUSVENT 25 MCG
estómago revuelto,DOMPERIDONA,ZEJULA 100 MG
dolor de cabeza fuerte,DESENFRIOL C,LEVITRA 10 MG
tengo mareos,DOGMATIL,CASPOFUNGINA
garganta inflamada,ANGILEPTOL,PROPECIA
dolor fuerte en la barriga,ALMAX FORTE,ZALTRAP
tengo molestias estomacales,BUSCAPINA COMPOSITUM,SUTENT
tengo tos,ROMILAR,PRITORPLUS 40 MG
alergia primaveral,AERIUS,ZALTRAP
tengo mareos,STUGERON,PLUSVENT 25 MCG
tengo molestias estomacales,ALMAX FORTE,XARELTO
dolor de cabeza fuerte,GELOCATIL 650 MG,PROPECIA
tengo mareos,BIODRAMINA,PROPECIA
resfriado con congestión,ACTIFED,XARELTO
dolor de cabeza fuerte,ASPIRINA C,PRITORPLUS 40 MG
resfriado con congestión,ACTIFED,ZEJULA 100 MG
me duelen los músculos,ENOXOLONA,CASPOFUNGINA
tengo náuseas,VOMISTOP,PLUSVENT 25 MCG
alergia primaveral,AERIUS,SUTENT
me tambaleo al caminar,BIODRAMINA,PRITORPLUS 40 MG
me pica la garganta,JUVELAINE,TRUVADA
tengo tos,FARINGESIC,CASPOFUNGINA
tos con mocos,FARINGESIC,PLUSVENT 25 MCG
me siento mareado y con ganas de vomitar,CARIBAN,PRITORPLUS 40 MG
dolor de cabeza fuerte,ESPIDIFEN 600 MG,ZEJULA 100 MG
fiebre alta,PARACETAMOL 1G,XARELTO
nariz taponada,NASONEX,TRUVADA
me dan arcadas,PRIMPERAN,ZALTRAP
tengo tos,FARINGESIC,ZALTRAP
sensación de vómito,CARIBAN,CASPOFUNGINA
no puedo respirar por la nariz,RHINATHIOL,ZALTRAP
ojos llorosos y picor,BILASTINA,LEVITRA 10 MG
me dan arcadas,CARIBAN,SUTENT
tengo cefalea,ESPIDIFEN 600 MG,PLUSVENT 25 MCG
mareo constante,CINARIZINA,TRUVADA
tengo alergia,CETIRIZINA,PLUSVENT 25 MCG
me ahogo con la tos,BISOLVON,ZALTRAP
resfriado con congestión,RESPIR,PRITORPLUS 40 MG
me ahogo con la tos,FLUTOX,ZEJULA 100 MG
me palpita la cabeza,ACTRON COMPUESTO,ZEJULA 100 MG
ojos llorosos y picor,BILASTINA,LEVITRA 10 MG
no paro de toser,MUCOSAN,PROPECIA
tengo cefalea,DESENFRIOL C,PRITORPLUS 40 MG
nariz taponada,RESPIR,CASPOFUNGINA
estómago revuelto,VOMISTOP,ZEJULA 100 MG
me palpita la cabeza,ACTRON COMPUESTO,XARELTO
me ahogo con la tos,FLUTOX,TRUVADA
dolor de cabeza fuerte,GELOCATIL 650 MG,TRUVADA
tengo dolor muscular,IBUPROFENO 400 MG,XARELTO
me duele el estómago,OMEPRAZOL 20 MG,LEVITRA 10 MG
tengo dolor muscular,ENOXOLONA,LEVITRA 10 MG
me duele todo el cuerpo,VOLTAREN EMULGEL,XARELTO
me duele la garganta,FLUBIOGRIP,PROPECIA
me tambaleo al caminar,DOGMATIL,ZALTRAP
tos seca,ROMILAR,XARELTO
retortijones,ALMAX FORTE,PRITORPLUS 40 MG
tengo dolor muscular,FLEXIUM GEL,LEVITRA 10 MG
tos seca,BISOLVON,XARELTO
tengo fiebre,IBUPROFENO 600 MG,PLUSVENT 25 MCG
tos seca,FLUTOX,TRUVADA
estoy febril,TERMALGIN,PROPECIA
tengo mareos,DOGMATIL,SUTENT
me ha subido la temperatura,GELDOCHEK,PLUSVENT 25 MCG
tengo cefalea,ESPIDIFEN 600 MG,SUTENT
resfriado con congestión,VICKS VAPORUB,XARELTO
tengo dolor muscular,IBUPROFENO 400 MG,PROPECIA
me tambaleo al caminar,BIODRAMINA,TRUVADA
tengo congestión nasal,ACTIFED,LEVITRA 10 MG
me duelen los músculos,ENOXOLONA,LEVITRA 10 MG
tos seca,FLUTOX,ZEJULA 100 MG
estoy febril,IBUPROFENO 600 MG,PLUSVENT 25 MCG
tengo molestias estomacales,RANITIDINA,TRUVADA
estómago revuelto,DOMPERIDONA,PLUSVENT 25 MCG
me duele el estómago,RANITIDINA,PLUSVENT 25 MCG
me pica la garganta,STREPSILS,LEVITRA 10 MG
me duele el estómago,BUSCAPINA COMPOSITUM,XARELTO
dolor al tragar,ANGILEPTOL,XARELTO
tengo mareos,CINARIZINA,ZALTRAP
tengo agujetas,FLEXIUM GEL,PLUSVENT 25 MCG
dolor de cabeza fuerte,ASPIRINA C,LEVITRA 10 MG
no paro de toser,BISOLVON,ZEJULA 100 MG
me duelen los músculos,ENOXOLONA,XARELTO
me ha subido la temperatura,PARACETAMOL 1G,ZALTRAP
dolor punzante en la cabeza,ESPIDIFEN 600 MG,PROPECIA
tengo molestias estomacales,BUSCAPINA COMPOSITUM,ZALTRAP
me ha subido la temperatura,PARACETAMOL 1G,ZALTRAP
tengo molestias estomacales,RANITIDINA,TRUVADA
tengo congestión nasal,RHINATHIOL,PLUSVENT 25 MCG
tos seca,ROMILAR,CASPOFUNGINA
tengo molestias estomacales,BUSCAPINA COMPOSITUM,XARELTO
estómago revuelto,EMETROL,PROPECIA
tengo mareos,BIODRAMINA,SUTENT
nariz taponada,RESPIR,SUTENT
tengo irritación en la garganta,JUVELAINE,SUTENT
tengo náuseas,CARIBAN,PRITORPLUS 40 MG
me pica la garganta,IBUPROFENO 400 MG,TRUVADA
tengo mareos,DOGMATIL,ZALTRAP
molestias musculares,FLEXIUM GEL,PROPECIA
me tambaleo al caminar,STUGERON,CASPOFUNGINA
tengo cefalea,ESPIDIFEN 600 MG,LEVITRA 10 MG
dolor punzante en la cabeza,ACTRON COMPUESTO,PLUSVENT 25 MCG
me palpita la cabeza,ACTRON COMPUESTO,PRITORPLUS 40 MG
me duele todo el cuerpo,MYOLASTAN,ZEJULA 100 MG
dolor fuerte en la barriga,ALMAX FORTE,PLUSVENT 25 MCG
sensación de vómito,PRIMPERAN,PRITORPLUS 40 MG
dolor de cabeza fuerte,ASPIRINA C,PLUSVENT 25 MCG
garganta inflamada,FLUBIOGRIP,PRITORPLUS 40 MG
me siento muy caliente,GELDOCHEK,PRITORPLUS 40 MG
me duele el estómago,RANITIDINA,LEVITRA 10 MG
no paro de toser,FLUTOX,PRITORPLUS 40 MG
garganta inflamada,STREPSILS,SUTENT
estoy febril,IBUPROFENO 600 MG,ZEJULA 100 MG
me siento mareado,VERTIGON,XARELTO
molestias musculares,ENOXOLONA,CASPOFUNGINA
me pica todo el cuerpo,LORATADINA,PLUSVENT 25 MCG
tengo agujetas,ENOXOLONA,CASPOFUNGINA
me duele la cabeza,GELOCATIL 650 MG,TRUVADA
me duele el estómago,OMEPRAZOL 20 MG,PROPECIA
me siento muy caliente,TERMALGIN,ZEJULA 100 MG
retortijones,OMEPRAZOL 20 MG,ZEJULA 100 MG
me duele la cabeza,DESENFRIOL C,PLUSVENT 25 MCG
me duele la garganta,JUVELAINE,PLUSVENT 25 MCG
tengo mareos,DOGMATIL,ZEJULA 100 MG
tos con mocos,ROMILAR,ZEJULA 100 MG
me duele la cabeza,ACTRON COMPUESTO,TRUVADA
tengo tos,ROMILAR,SUTENT
resfriado con congestión,VICKS VAPORUB,LEVITRA 10 MG
dolor fuerte en la barriga,ALMAX FORTE,ZALTRAP
tengo fiebre,GELDOCHEK,ZALTRAP
me tambaleo al caminar,VERTIGON,ZALTRAP
tengo fiebre,TERMALGIN,CASPOFUNGINA
tos con mocos,BISOLVON,XARELTO
me pica la garganta,FLUBIOGRIP,PLUSVENT 25 MCG
tengo mareos,VERTIGON,PROPECIA
sensación de vómito,DOMPERIDONA,PLUSVENT 25 MCG
garganta inflamada,IBUPROFENO 400 MG,LEVITRA 10 MG
alergia primaveral,BILASTINA,PRITORPLUS 40 MG
sensación de vómito,DOMPERIDONA,TRUVADA
me ha subido la temperatura,GELDOCHEK,LEVITRA 10 MG
nariz taponada,RHINATHIOL,XARELTO
nariz bloqueada,VICKS VAPORUB,CASPOFUNGINA
no puedo respirar por la nariz,RHINATHIOL,LEVITRA 10 MG
estornudo mucho,CETIRIZINA,CASPOFUNGINA
garganta inflamada,FLUBIOGRIP,TRUVADA
nariz taponada,RESPIR,SUTENT
todo me da vueltas,STUGERON,CASPOFUNGINA
me palpita la cabeza,DESENFRIOL C,CASPOFUNGINA
dolor al tragar,FLUBIOGRIP,SUTENT
estornudo mucho,EBASTEL,ZALTRAP
tengo tos,ROMILAR,ZALTRAP
estoy febril,GELDOCHEK,PROPECIA
mareo constante,VERTIGON,LEVITRA 10 MG
me ha subido la temperatura,PARACETAMOL 1G,PLUSVENT 25 MCG
alergia primaveral,LORATADINA,LEVITRA 10 MG
me duele la garganta,ANGILEPTOL,XARELTO
me duele todo el cuerpo,IBUPROFENO 400 MG,ZEJULA 100 MG
me duele la garganta,JUVELAINE,TRUVADA
me duelen los músculos,ENOXOLONA,LEVITRA 10 MG
tos con mocos,ROMILAR,SUTENT
fiebre alta,DAFALGAN,PLUSVENT 25 MCG
tos seca,FLUTOX,PLUSVENT 25 MCG
tengo náuseas,CARIBAN,CASPOFUNGINA
resfriado con congestión,NASONEX,ZEJULA 100 MG
me duele el estómago,RANITIDINA,TRUVADA
todo me da vueltas,CINARIZINA,SUTENT
me duelen los músculos,FLEXIUM GEL,TRUVADA
me ahogo con la tos,BISOLVON,PLUSVENT 25 MCG
me duelen los músculos,MYOLASTAN,TRUVADA
dolor fuerte en la barriga,ESPAVEN,ZEJULA 100 MG
tos con mocos,BISOLVON,PRITORPLUS 40 MG
dolor de cabeza fuerte,GELOCATIL 650 MG,PLUSVENT 25 MCG
tengo dolor muscular,VOLTAREN EMULGEL,TRUVADA
molestias musculares,VOLTAREN EMULGEL,TRUVADA
tengo dolor muscular,MYOLASTAN,PROPECIA
tos con mocos,ROMILAR,XARELTO
me palpita la cabeza,GELOCATIL 650 MG,PROPECIA
nariz bloqueada,VICKS VAPORUB,PROPECIA
me duele todo el cuerpo,IBUPROFENO 400 MG,PLUSVENT 25 MCG
molestias musculares,VOLTAREN EMULGEL,PROPECIA
tengo alergia,CETIRIZINA,ZALTRAP
mareo constante,CINARIZINA,CASPOFUNGINA
me pica la garganta,STREPSILS,XARELTO
ojos llorosos y picor,BILASTINA,ZALTRAP
tengo náuseas,EMETROL,ZALTRAP
me duelen los músculos,IBUPROFENO 400 MG,XARELTO
me pica la garganta,IBUPROFENO 400 MG,ZEJULA 100 MG
me pica la garganta,ANGILEPTOL,PLUSVENT 25 MCG
fiebre alta,PARACETAMOL 1G,LEVITRA 10 MG
mareo constante,STUGERON,TRUVADA
me palpita la cabeza,ASPIRINA C,SUTENT
me ahogo con la tos,FARINGESIC,PROPECIA
me duele la garganta,FLUBIOGRIP,TRUVADA
retortijones,RANITIDINA,LEVITRA 10 MG
me duele el estómago,ESPAVEN,TRUVADA
tos seca,FLUTOX,ZALTRAP
tengo alergia,BILASTINA,PRITORPLUS 40 MG
dolor punzante en la cabeza,GELOCATIL 650 MG,ZALTRAP
tengo irritación en la garganta,ANGILEPTOL,SUTENT
nariz bloqueada,RESPIR,LEVITRA 10 MG
garganta inflamada,FLUBIOGRIP,ZEJULA 100 MG
tengo irritación en la garganta,FLUBIOGRIP,PROPECIA
me pica la garganta,ANGILEPTOL,ZALTRAP
tengo náuseas,DOMPERIDONA,LEVITRA 10 MG
me tambaleo al caminar,STUGERON,PRITORPLUS 40 MG
tengo cefalea,GELOCATIL 650 MG,CASPOFUNGINA
retortijones,OMEPRAZOL 20 MG,SUTENT
estómago revuelto,VOMISTOP,CASPOFUNGINA
tengo molestias estomacales,BUSCAPINA COMPOSITUM,SUTENT
dolor fuerte en la barriga,ALMAX FORTE,ZEJULA 100 MG
me palpita la cabeza,ESPIDIFEN 600 MG,PRITORPLUS 40 MG
estornudo mucho,BILASTINA,CASPOFUNGINA
no puedo respirar por la nariz,VICKS VAPORUB,PROPECIA
tengo cefalea,GELOCATIL 650 MG,LEVITRA 10 MG
nariz bloqueada,RESPIR,LEVITRA 10 MG
alergia primaveral,CETIRIZINA,ZEJULA 100 MG
estómago revuelto,CARIBAN,ZALTRAP
dolor fuerte en la barriga,BUSCAPINA COMPOSITUM,LEVITRA 10 MG
tengo mareos,DOGMATIL,SUTENT
tos seca,ROMILAR,TRUVADA
me pica la garganta,ANGILEPTOL,CASPOFUNGINA
dolor abdominal,BUSCAPINA COMPOSITUM,PLUSVENT 25 MCG
tos con mocos,BISOLVON,ZALTRAP
ojos llorosos y picor,EBASTEL,ZALTRAP
dolor fuerte en la barriga,BUSCAPINA COMPOSITUM,PROPECIA
me siento muy caliente,IBUPROFENO 600 MG,LEVITRA 10 MG
me dan arcadas,DOMPERIDONA,TRUVADA
molestias musculares,IBUPROFENO 400 MG,PROPECIA
tengo agujetas,VOLTAREN EMULGEL,CASPOFUNGINA
dolor abdominal,ESPAVEN,PROPECIA
alergia primaveral,BILASTINA,TRUVADA
ojos llorosos y picor,LORATADINA,PLUSVENT 25 MCG
ojos llorosos y picor,AERIUS,PROPECIA
me tambaleo al caminar,STUGERON,CASPOFUNGINA
tengo mareos,BIODRAMINA,PLUSVENT 25 MCG
garganta inflamada,IBUPROFENO 400 MG,CASPOFUNGINA
tengo mareos,BIODRAMINA,PROPECIA
no puedo respirar por la nariz,VICKS VAPORUB,PRITORPLUS 40 MG
me siento mareado,BIODRAMINA,PRITORPLUS 40 MG
me ahogo con la tos,FARINGESIC,ZEJULA 100 MG
estoy febril,PARACETAMOL 1G,SUTENT
tengo irritación en la garganta,IBUPROFENO 400 MG,PRITORPLUS 40 MG
todo me da vueltas,CINARIZINA,ZALTRAP
dolor abdominal,RANITIDINA,ZALTRAP
tengo molestias estomacales,ALMAX FORTE,PROPECIA
tengo irritación en la garganta,STREPSILS,PLUSVENT 25 MCG
molestias musculares,IBUPROFENO 400 MG,PRITORPLUS 40 MG
tengo fiebre,IBUPROFENO 600 MG,CASPOFUNGINA
me duele la garganta,ANGILEPTOL,PRITORPLUS 40 MG
dolor punzante en la cabeza,GELOCATIL 650 MG,PLUSVENT 25 MCG
dolor punzante en la cabeza,ACTRON COMPUESTO,ZALTRAP
fiebre alta,DAFALGAN,CASPOFUNGINA
no puedo respirar por la nariz,RHINATHIOL,PLUSVENT 25 MCG
fiebre alta,TERMALGIN,PRITORPLUS 40 MG
estoy febril,IBUPROFENO 600 MG,ZEJULA 100 MG
estornudo mucho,CETIRIZINA,SUTENT
me ahogo con la tos,MUCOSAN,LEVITRA 10 MG
no puedo respirar por la nariz,RHINATHIOL,PROPECIA
tengo dolor muscular,VOLTAREN EMULGEL,TRUVADA
estoy febril,GELDOCHEK,PLUSVENT 25 MCG
me dan arcadas,VOMISTOP,ZEJULA 100 MG
me dan arcadas,PRIMPERAN,PLUSVENT 25 MCG
tengo irritación en la garganta,STREPSILS,PRITORPLUS 40 MG
sensación de vómito,VOMISTOP,PRITORPLUS 40 MG
tengo cefalea,ACTRON COMPUESTO,ZALTRAP
no paro de toser,ROMILAR,LEVITRA 10 MG
me ha subido la temperatura,TERMALGIN,PLUSVENT 25 MCG
tengo mareos,DOGMATIL,LEVITRA 10 MG
me pica todo el cuerpo,EBASTEL,CASPOFUNGINA
